job title,compaany name,local job,jobs experience,link,date offer
Learning & Development Tower Lead | MAF Global Solutions,MAJID AL FUTTAIM,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,https://wuzzuf.net/jobs/p/NpQnVWmZiIK0-Learning-Development-Tower-Lead-MAF-Global-Solutions-MAJID-AL-FUTTAIM-Cairo-Egypt,25 days
Data Engineer,AECOM,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Computer Engineering · Engineering · Software Engineering · Software Development · SQL,https://wuzzuf.net/jobs/p/yI9VhuLTZqQ7-Data-Engineer-AECOM-Riyadh-Saudi-Arabia,26 days
Principal Applied Science Manager,Microsoft,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · computer science · information technology (it) · engineering · software development · python · science · cloud,https://wuzzuf.net/jobs/p/t5xezJNQr9Bc-Principal-Applied-Science-Manager-Microsoft-Cairo-Egypt,26 days
WebLogic Administrator,VAM Systems,"Dubai, United Arab Emirates ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · WebLogic · Linux · Oracle · Software Engineering · Engineering,https://wuzzuf.net/jobs/p/Q7pDPWtv9qhd-WebLogic-Administrator-VAM-Systems-Dubai-United-Arab-Emirates,26 days
ML & Data Analytics Senior Specialist,Vodafone - Egypt,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Python · Software · Software Engineering · Computer Engineering · Software Development,https://wuzzuf.net/jobs/p/mWJtYYF0H69H-ML-Data-Analytics-Senior-Specialist-Vodafone---Egypt-Cairo-Egypt,27 days
GIS & Data Management Technician,WorleyParsons,"Kuwait City, Kuwait ",Full TimeNot specified · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Telecom/Technology · GIS · Information Technology (IT) · Computer Science · Software Development · Engineering · javaScript · Software Engineering,https://wuzzuf.net/jobs/p/wfjzOY5iJHdl-GIS-Data-Management-Technician-WorleyParsons-Kuwait-City-Kuwait,28 days
Business Intelligence Lead,Abdullah Abdulghani & Bros.Co. (AAB),"Doha, Qatar ",Full TimeNot specified · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Business Intelligence · SQL · BI · Engineering · ETL,https://wuzzuf.net/jobs/p/c3Ka0J4lgky1-Business-Intelligence-Lead-Abdullah-Abdulghani-Bros-Co-AAB-Doha-Qatar,28 days
Unix Administrator,Sscegypt,"Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · UNIX · Computer Science · Linux · System Administration · Engineering · Maintenance,https://wuzzuf.net/jobs/p/z5MDfbLaYBws-Unix-Administrator-Sscegypt-Cairo-Egypt,29 days
Unix Administrator,SSC,"Cairo, Egypt ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · UNIX · Computer Science · Linux · System Administration · Engineering · Maintenance,https://wuzzuf.net/jobs/p/wZpRF77nRDzw-Unix-Administrator-SSC-Cairo-Egypt,30 days
Coding Instructor - Project Based -2 Months,iSchool Limited,"Cairo, Egypt ",Full TimeWork From HomeNot specified · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · computer science · information technology (it) · computer engineering · python · education · teaching · instructor,https://wuzzuf.net/jobs/p/P549HQAcDWtK-Coding-Instructor---Project-Based--2-Months-iSchool-Limited-Cairo-Egypt,1 month
Senior Odoo Developer,Plennix Technologies,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Development · Information Technology (IT) · JavaScript · Odoo · Python · Software Development,https://wuzzuf.net/jobs/p/2zMkfRgBjlQC-Senior-Odoo-Developer-Plennix-Technologies-Cairo-Egypt,1 month
Application developer-web scraper,Premiumy,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Java · Python,https://wuzzuf.net/jobs/p/L8NJ7cbaIvP9-Application-developer-web-scraper-Premiumy-Cairo-Egypt,1 month
Application developer/ web scraper,Premiumy,"Cairo, Egypt ",Part TimeFreelance / ProjectWork From HomeExperienced · 2 - 20 Yrs of Exp · IT/Software Development · #appdeveloper #webscraper #proxycreation #parttimejobs #freelancer #telecomjobs · Python · Programming · Software Development · Web · Java · Information Technology (IT) · Web Development,https://wuzzuf.net/jobs/p/MpZABoj9zuM4-Application-developer-web-scraper-Premiumy-Cairo-Egypt,1 month
Junior Data Scientist,Cultiv,"Cairo, Egypt ",Full TimeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Computer Science · Algorithms · Database · Mathematics · Python · Statistics · NLP,https://wuzzuf.net/jobs/p/zqp8h57Qt0vc-Junior-Data-Scientist-Cultiv-Cairo-Egypt,1 month
Odoo Developer & Business Analyst Consultant,Royal Herbs,"Haram, Giza, Egypt ",Full TimeExperienced · 3 - 7 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Database · Engineering · Odoo · Python · Software,https://wuzzuf.net/jobs/p/P0nWtE8S6a4u-Odoo-Developer-Business-Analyst-Consultant-Royal-Herbs-Giza-Egypt,1 month
Senior AI Engineer (Computer Vision Focus),Lumin,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2 - 5 Yrs of Exp · IT/Software Development · AI · Artificial Intelligence · Computer Vision · Machine Learning · TensorFlow · Python · Computer Science · Programming · PyTorch,https://wuzzuf.net/jobs/p/Bz1GQHFDxHEj-Senior-AI-Engineer-Computer-Vision-Focus-Lumin-Giza-Egypt,1 month
Telecommunication Support Engineer Senior Supervisor,Xceed Contact Center,"Giza, Egypt ",Full TimeManager · 6 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · Java · Computer Science · SQL · Python,https://wuzzuf.net/jobs/p/78Yi6IJgnp1A-Telecommunication-Support-Engineer-Senior-Supervisor-Xceed-Contact-Center-Giza-Egypt,1 month
Senior Presales Engineer,Progress Security Systems,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Computer Science · Engineering · Information Technology (IT) · Java · Linux · MongoDB · MySQL,https://wuzzuf.net/jobs/p/mLksB2kvUz9i-Senior-Presales-Engineer-Progress-Security-Systems-Giza-Egypt,1 month
Data Analyst,Kashier Payment Solutions,"Zamalek, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Science · Data · Data Analysis · Database · ETL,https://wuzzuf.net/jobs/p/PLaodb5PEatX-Data-Analyst-Kashier-Payment-Solutions-Cairo-Egypt,1 month
Computer Science programmer,Mansoura Glass Co.,"10th of Ramadan City, Sharqia, Egypt ",Full TimeEntry Level · 1 - 5 Yrs of Exp · IT/Software Development · Programming · JavaScript · Python · Software · Software Development · CSS · HTML · Computer Science · Development,https://wuzzuf.net/jobs/p/PvDpXAlrh5kW-Computer-Science-programmer-Mansoura-Glass-Co-Sharqia-Egypt,1 month
Machine Learning Researcher,RDI,"Dokki, Giza, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Machine Learning · Deep Learning · Python · TensorFlow · Computer Engineering · Computer Science · Flask,https://wuzzuf.net/jobs/p/GeNMHwjBsatD-Machine-Learning-Researcher-RDI-Giza-Egypt,1 month
Backend Developer,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt ",Full TimeEntry Level · 1 - 2 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · backend · API · Computer Science · Information Technology (IT) · Java · Programming · Python,https://wuzzuf.net/jobs/p/E6l1RDsUCTia-Backend-Developer-Nahdet-Misr-Publishing-Group-Giza-Egypt,2 months
Robotics / Computer Science Instructor for kids,Edu-Zone,"Cairo, Egypt ",Full TimePart TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Software Development · Software Engineering · Java Software Development · Android Software · Computer Science · Computer Engineering · Computer Systems,https://wuzzuf.net/jobs/p/ioM1OqZigQHZ-Robotics-Computer-Science-Instructor-for-kids-Edu-Zone-Cairo-Egypt,2 months
Senior Odoo Developer,Confidential,"New Nozha, Cairo, Egypt ",Full TimeWork From HomeExperienced · 7 - 10 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Odoo · Information Technology (IT) · ERP · Odoo ERP · Accounting · Computer Science · Odoo Development,https://wuzzuf.net/jobs/p/qA6KvPsH4dCG-Senior-Odoo-Developer-Cairo-Egypt,2 months
Senior Odoo Developer,OdooTec,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Python · Information Technology (IT) · Software Development · HTML · ERP · Odoo,https://wuzzuf.net/jobs/p/vKds5nEC2AJd-Senior-Odoo-Developer-OdooTec-Cairo-Egypt,2 months
Senior ARC GIS Developer,qTech.,"Mansoura, Dakahlia, Egypt ",Full TimeExperienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Web Development · GIS · Software Development · System Analysis · Web Design · Software Engineering · Computer Science,https://wuzzuf.net/jobs/p/YbPFV2f3zBD7-Senior-ARC-GIS-Developer-qTech-Dakahlia-Egypt,2 months
Data Science Instructor,EpsilonAI,"Nasr City, Cairo, Egypt ",Full TimePart TimeExperienced · 1+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Training/Instructor · Data Science · Computer Science · Computer Engineering · Python · Machine Learning · Deep Learning · Artificial Intelligence (AI),https://wuzzuf.net/jobs/p/14BEtt96p9wi-Data-Science-Instructor-EpsilonAI-Cairo-Egypt,2 months
Data Scientist - Section Head,IDH,"6th of October, Giza, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · Business Development · Data Science · data scientist · Computer Science · Python · SQL,https://wuzzuf.net/jobs/p/A5JJWFl1OsZi-Data-Scientist---Section-Head-IDH-Giza-Egypt,2 months
Data Engineer,Cilantro,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · BI · Computer Science · Engineering · Information Technology (IT) · Python · SQL · OOP,https://wuzzuf.net/jobs/p/UBzYQr5WevHy-Data-Engineer-Cilantro-Cairo-Egypt,2 months
System Administrator,Xyris Digital Solutions,"Cairo, Egypt ",Full TimeEntry Level · 1+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · network · Networks · System Administration · System administrator · Engineering,https://wuzzuf.net/jobs/p/LxJwYiovYwLB-System-Administrator-Xyris-Digital-Solutions-Cairo-Egypt,2 months
Mid-level AI Engineer,Noases,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 1 - 5 Yrs of Exp · IT/Software Development · Software Engineering · Information Technology (IT) · Computer Science · Computer Engineering · Programming · Python · NLP · Machine Learning,https://wuzzuf.net/jobs/p/r4Ou1v34QWq3-Mid-level-AI-Engineer-Noases-Cairo-Egypt,2 months
Devops Engineer,DAF Holding,"Maadi, Cairo, Egypt ",Full TimePart TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · AWS · CI/CD · DevOps · Information Technology (IT) · Engineering · Python · Linux · Software Development · Kubernetes,https://wuzzuf.net/jobs/p/3FgyvYCttxeH-Devops-Engineer-DAF-Holding-Cairo-Egypt,2 months
Azure DevOps Engineer,National Technology,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 1 - 3 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Agile · Computer Engineering · Computer Science · DevOps · Engineering · Docker · Information Technology (IT),https://wuzzuf.net/jobs/p/6oNC05mU87rZ-Azure-DevOps-Engineer-National-Technology-Cairo-Egypt,2 months
Sr. Devops Engineer,waffarha.com,"Downtown, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · IT/Software Development · Engineering - Telecom/Technology · Engineering · DevOps · AWS · Software Development · Linux · Information Technology (IT) · Python · MySQL,https://wuzzuf.net/jobs/p/K0dmaVANNw46-Sr-Devops-Engineer-waffarha-com-Cairo-Egypt,2 months
Data Scientist | ML Engineer,Giza Systems,"New Cairo, Cairo, Egypt ",Full TimeExperienced · 5 - 12 Yrs of Exp · IT/Software Development · Computer Science · Data Science · data scientist · Information Technology (IT) · ML · Python · Data · Spark · SQL,https://wuzzuf.net/jobs/p/SPj0gEhYvHoh-Data-Scientist-ML-Engineer-Giza-Systems-Cairo-Egypt,2 months
Senior Site Reliability Engineer,Evolvice GmbH,"Cairo, Egypt ",Full TimeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Python · Architecture · Vmware,https://wuzzuf.net/jobs/p/tDBARAyxP4Jj-Senior-Site-Reliability-Engineer-Evolvice-GmbH-Cairo-Egypt,2 months
"Robotic Process Automation Analyst ""RPA Analyst""",Cilantro,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Automation · Computer Engineering · Computer Science · Engineering · Information Technology (IT) · Python · RPA,https://wuzzuf.net/jobs/p/9OumzgSaDTBt-Robotic-Process-Automation-Analyst-RPA-Analyst-Cilantro-Cairo-Egypt,2 months
Backend Developer,Confidential,"Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · males_only · IT/Software Development · Code · Python · Software Development · NoSQL · Programming · Databases,https://wuzzuf.net/jobs/p/xJn3kfZP8PAZ-Backend-Developer-Cairo-Egypt,2 months
Odoo Senior Developer,Ibn Sina Pharma,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Odoo · Java · jQuery,https://wuzzuf.net/jobs/p/aMZhUVfbvG2m-Odoo-Senior-Developer-Ibn-Sina-Pharma-Cairo-Egypt,26 days
Application Support Engineer,NewTech Company,"Garden City, Cairo, Egypt ",Full TimeExperienced · 5 - 10 Yrs of Exp · IT/Software Development · Information Technology (IT) · Engineering · ERP · Infrastructure,https://wuzzuf.net/jobs/p/3ch214lY4ped-Application-Support-Engineer-NewTech-Company-Cairo-Egypt,2 months
"Full time Senior ASP Net Core, Blazor Full Stack Developer",Sinmar Soft,"New Nozha, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 10 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · blazor · MVC · ASP.NET Core · c#.net · ASP.net MVC 5,https://wuzzuf.net/jobs/p/DCiTDmBffBUp-Full-time-Senior-ASP-Net-Core-Blazor-Full-Stack-Developer-Sinmar-Soft-Cairo-Egypt,1 day
Software Quality Assurance Engineer,ATW Ltd.,"Dokki, Giza, Egypt ",Full TimeOn-siteExperienced · 1 - 3 Yrs of Exp · IT/Software Development · Quality · Quality Assurance · Computer Science · QA · Selenium · Quality Control,https://wuzzuf.net/jobs/p/IUBOOmcSBQLS-Software-Quality-Assurance-Engineer-ATW-Ltd-Giza-Egypt,7 days
Odoo Consultant/ implementor,etmana,"Katameya, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · IT/Software Development · Odoo · Odoo Framework · Information Technology (IT) · E-Commerce · Computer Science,https://wuzzuf.net/jobs/p/movXd23zy5BY-Odoo-Consultant-implementor-etmana-Cairo-Egypt,2 months
Odoo Developer,GMC,"Maadi, Cairo, Egypt ",Full TimeEntry Level · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Development · Design · Information Technology (IT) · Odoo Development · Software Development · Odoo · Linux,https://wuzzuf.net/jobs/p/ozKXAlmpCDCG-Odoo-Developer-GMC-Cairo-Egypt,1 month
Software Engineer - Germany/Austria/Europe with Full Visa Sponsorship,Your Career Abroad,"Cairo, Egypt ",Full TimeExperienced · 1 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · C++ · English · Java · Programming · Software Engineering · Computer Science · Software Development · .Net,https://wuzzuf.net/jobs/p/sVvU3XfNgwye-Software-Engineer---GermanyAustriaEurope-with-Full-Visa-Sponsorship-Your-Career-Abroad-Cairo-Egypt,22 days
Senior Full Stack Developer,Nahdet Misr Publishing Group,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 7+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full-Stack · Back-End · Front-End · Computer Science · Information Technology (IT) · Web Development · Software Development · Computer Engineering,https://wuzzuf.net/jobs/p/Wt9wSK7yRTNV-Senior-Full-Stack-Developer-Nahdet-Misr-Publishing-Group-Giza-Egypt,12 days
Web & Mobile Applications Developer - Frontend/Backend (project ),Confidential,"10th of Ramadan City, Cairo, Egypt ",Freelance / ProjectHybridExperienced · 15+ Yrs of Exp · IT/Software Development · HTML · Java · PHP · Software Development,https://wuzzuf.net/jobs/p/nhPxGtoh9TLM-Web-Mobile-Applications-Developer---FrontendBackend-project-Cairo-Egypt,1 day
.NET Full Stack Developer,PING,"Maadi, Cairo, Egypt ",Full TimeExperienced · 3 - 15 Yrs of Exp · IT/Software Development · Computer Science · Angular · HTML · Full Stack · Information Technology (IT),https://wuzzuf.net/jobs/p/tusn16pbqtKg-NET-Full-Stack-Developer-PING-Cairo-Egypt,16 days
Senior Application Specialist,ManpowerGroup Middle East,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Marketing/PR/Advertising · Media/Journalism/Publishing · Marketing · Social Media · Information Technology (IT) · Human Resources (HR) · Computer Science · E-marketing · Microsoft Office,https://wuzzuf.net/jobs/p/hpK3oplnMVvJ-Senior-Application-Specialist-ManpowerGroup-Middle-East-Dubai-United-Arab-Emirates,1 day
Branch Manager (Software house),Confidential,"Heliopolis, Cairo, Egypt ",Full TimeSenior Management · 10+ Yrs of Exp · IT/Software Development · Branch Management · Project Management · JavaScript · Operations Management,https://wuzzuf.net/jobs/p/la7m7gAZsytG-Branch-Manager-Software-house-Cairo-Egypt,22 days
System Administrator,Confidential,"Basatin, Cairo, Egypt ",Full TimeExperienced · 3 - 5 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Telecom Engineering · Engineering · Computer Hardware · Software Engineering · Domain Controller · DHCP,https://wuzzuf.net/jobs/p/1tIG5JubDmbq-System-Administrator-Cairo-Egypt,29 days
Senior Presales Engineer - Card printing & light current.,Lumin,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 4 - 7 Yrs of Exp · Sales/Retail · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Light Current · Electrical Engineering · English · Communication · Infrastructure · Network,https://wuzzuf.net/jobs/p/sREdf1HpEODO-Senior-Presales-Engineer---Card-printing-light-current-Lumin-Giza-Egypt,14 days
Junior Data Analyst,Prometeon Tyres Group – Egypt  (Ex-Pirelli Tyres Egypt),"Alexandria, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · IT/Software Development · Analysis · analytical · Computer Science · Data Analysis · Information Technology (IT),https://wuzzuf.net/jobs/p/yVfxNcTzpXH0-Junior-Data-Analyst-Prometeon-Tyres-Group-–-Egypt-Ex-Pirelli-Tyres-Egypt-Alexandria-Egypt,28 days
Mechanical Design Engineer,Egyptian for steel products Industries ESPI,"Abu Rawash, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · Manufacturing/Production · Engineering - Mechanical/Electrical · Design · SolidWorks · 2D · 3D · Mechanical Engineering · Manufacturing · Mechanical,https://wuzzuf.net/jobs/p/a9EBY6cTcZZI-Mechanical-Design-Engineer-Egyptian-for-steel-products-Industries-ESPI-Giza-Egypt,9 days
Senior Full Stack Developer,Traveler Club,"Cairo, Egypt ",Full TimeWork From HomeExperienced · 5 - 8 Yrs of Exp · IT/Software Development · Tourism/Travel · Engineering - Telecom/Technology · CSS · Full Stack · HTML · Information Technology (IT),https://wuzzuf.net/jobs/p/gW5hbfCbhdOU-Senior-Full-Stack-Developer-Traveler-Club-Cairo-Egypt,29 days
Senior Data/BI Engineer,Evolvice GmbH,"Maadi, Cairo, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · BI · Big Data · Business Intelligence · Information Technology (IT) · Software Engineering,https://wuzzuf.net/jobs/p/yAN7LA1Jj2Le-Senior-DataBI-Engineer-Evolvice-GmbH-Cairo-Egypt,14 days
Senior Backend Developer Magento,Seoudi Supermarket,"Sheikh Zayed, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · back-end · Computer Science · Engineering · Information Technology (IT) · JavaScript · Laravel · MySQL · PHP,https://wuzzuf.net/jobs/p/KY44e2SS3mLc-Senior-Backend-Developer-Magento-Seoudi-Supermarket-Giza-Egypt,15 days
IT Technical Support Specialist (Work Will Be Allocated In Africa) 24001,Confidential,"Cairo, Egypt ",Full TimeExperienced · 5 - 15 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Information Technology (IT) · Computer Hardware · Installation · Networks · Hardware · LAN · WAN,https://wuzzuf.net/jobs/p/0eAOW0Vz3WJY-IT-Technical-Support-Specialist-Work-Will-Be-Allocated-In-Africa-24001-Cairo-Egypt,1 month
General Accountant,Perfect tech,"Nasr City, Cairo, Egypt ",Full TimeSenior Management · 2 - 3 Yrs of Exp · Accounting/Finance · Accounting · Finance · Financial Analysis,https://wuzzuf.net/jobs/p/jTZbr5McqcYy-General-Accountant-Perfect-tech-Cairo-Egypt,1 month
DevOps Engineer,Bexel,"Nasr City, Cairo, Egypt ",Full TimeHybridEntry Level · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · DevOps · AWS · Engineering · Information Technology (IT) · Software Development · Computer Science · MySQL,https://wuzzuf.net/jobs/p/gy7ABz8wl1Vz-DevOps-Engineer-Bexel-Cairo-Egypt,8 days
Junior Localization Engineer,BayanTech,"Cairo, Egypt ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Engineering - Mechanical/Electrical · Engineering · Information Technology (IT) · Computer Science · AutoCAD · Electrical Engineering · Mechanical Engineering · Microsoft Office,https://wuzzuf.net/jobs/p/eKnAzidM6dm9-Junior-Localization-Engineer-BayanTech-Cairo-Egypt,25 days
Senior Cloud Infrastructure Architect/Engineer,CSP Automation Inc,"Cairo, Egypt ",Full TimeExperienced · 17 - 20 Yrs of Exp · Engineering - Telecom/Technology · Architect · Computer Science · Information Technology (IT) · Engineering · Infrastructure · Cloud · AWS · Cloud Infrastructure · Software Engineering,https://wuzzuf.net/jobs/p/gsoLWOhf7KpV-Senior-Cloud-Infrastructure-ArchitectEngineer-CSP-Automation-Inc-Cairo-Egypt,1 month
Senior Software Testing Engineer,Aman,"6th of October, Giza, Egypt ",Full TimeExperienced · 2 - 4 Yrs of Exp · IT/Software Development · Quality · Engineering - Telecom/Technology · Information Technology (IT) · Quality Assurance · Software Development · Computer Science · Software Engineering · Software · Testing,https://wuzzuf.net/jobs/p/oEyGRPSA9B0a-Senior-Software-Testing-Engineer-Aman-Giza-Egypt,2 months
Senior Full Stack Developer,Linutech Solutions,"Santa Ana, United States ",Full TimeWork From HomeExperienced · 8 - 12 Yrs of Exp · IT/Software Development · Laravel Framework · Laravel PHP · AWS Cloud · HTML · Full Stack · MySQL · Secuity architecture · Information Technology (IT) · PHP,https://wuzzuf.net/jobs/p/eXNT8plUJ7bc-Senior-Full-Stack-Developer-Linutech-Solutions-Santa-Ana-United-States,26 days
Full Stack Engineer,Greenalytics,"6th of October, Giza, Egypt ",Full TimeWork From HomeExperienced · 2+ Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Engineering · Software Development · Full Stack,https://wuzzuf.net/jobs/p/3TbXoAWdOxhy-Full-Stack-Engineer-Greenalytics-Giza-Egypt,28 days
Full Stack PHP Developer,Confidential,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 5 - 7 Yrs of Exp · IT/Software Development · Full Stack · PHP · MySQL · JavaScript · HTML · CSS · Angular · React · Software Development,https://wuzzuf.net/jobs/p/nC6wMLJ7151s-Full-Stack-PHP-Developer-Cairo-Egypt,6 days
Full Stack Developer (PHP/Laravel+ JavaScript),jmskef,"Banha, Qalubia, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · Laravel · Laravel 5 · Laravel PHP · Full Stack · Information Technology (IT) · JavaScript · MySQL,https://wuzzuf.net/jobs/p/UvTt9qzl62WI-Full-Stack-Developer-PHPLaravel-JavaScript-jmskef-Qalubia-Egypt,10 days
Artificial Intelligence Team Leader,Wakeb Data,"Mohandessin, Giza, Egypt ",Full TimeExperienced · 4 - 6 Yrs of Exp · IT/Software Development · Artificial Intelligence (AI) · Data Analysis · Algorithms · Web Frameworks · Computer Science,https://wuzzuf.net/jobs/p/nc8LxxDcTlIz-Artificial-Intelligence-Team-Leader-Wakeb-Data-Giza-Egypt,2 months
Flutter Developer,2CooM,"6th of October, Giza, Egypt ",Full TimeEntry Level · 0 - 3 Yrs of Exp · Engineering - Telecom/Technology · Computer Science · flutter · Development · Android · iOS · JavaScript · Software Development,https://wuzzuf.net/jobs/p/6aisn6aDglTr-Flutter-Developer-2CooM-Giza-Egypt,1 month
Full Stack Web,Confidential,"Nasr City, Cairo, Egypt ",Full TimeExperienced · 3 - 4 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Full Stack · HTML · Software Development · Information Technology (IT) · Java,https://wuzzuf.net/jobs/p/NmnpJsq7HD2z-Full-Stack-Web-Cairo-Egypt,1 month
Automation Testing Lead / Banking,Ejada,"Cairo, Egypt ",Full TimeManager · IT/Software Development · Automation · Computer Science · Banking · Information Technology (IT) · test automation · Testing · ISTQB,https://wuzzuf.net/jobs/p/6bvsni1FRhDc-Automation-Testing-Lead-Banking-Ejada-Cairo-Egypt,29 days
Automation Test Engineer - Digital Banking,VAM Systems,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Testing · Testing · Quality Control · Quality Assurance · Automation,https://wuzzuf.net/jobs/p/oH7lWhZnhgRU-Automation-Test-Engineer---Digital-Banking-VAM-Systems-Abu-Dhabi-United-Arab-Emirates,25 days
SOC engineer,Alexandria Business Association- SMEs Project,"Alexandria, Egypt ",Full TimeEntry Level · 0 - 1 Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Network Security · Information Technology (IT) · Network · Security · Computer Science,https://wuzzuf.net/jobs/p/iYWeHst4UsOu-SOC-engineer-Alexandria-Business-Association--SMEs-Project-Alexandria-Egypt,2 months
Full Stack Developer,NTG Clarity,"Giza, Egypt ",Full TimeExperienced · 2 - 10 Yrs of Exp · IT/Software Development · Angular · Java,https://wuzzuf.net/jobs/p/JJIAASkzwEY1-Full-Stack-Developer-NTG-Clarity-Giza-Egypt,2 months
