job title,compaany name,local job,jobs experience,link,date offer
"Full Stack Engineer, Totogi (Remote) - $100,000/year USD",Crossover,"Cairo, Egypt ",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Software Development · Software Engineering · javaScript · Engineering · MySQL,https://wuzzuf.net/jobs/p/pLrgFzx2kQSY-Full-Stack-Engineer-Totogi-Remote---100000year-USD-Crossover-Cairo-Egypt,1 day
"Data Analyst, Trilogy (Remote) - $100,000/year USD",Crossover,"Cairo, Egypt ",Full TimeExperienced · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Data Analysis · Analysis · Computer Science · Information Technology (IT) · Microsoft Office · SQL · Microsoft Excel,https://wuzzuf.net/jobs/p/4g7ttLueN4Bd-Data-Analyst-Trilogy-Remote---100000year-USD-Crossover-Cairo-Egypt,1 day
Senior Data Engineer - ETL and IoT Integration Specialist,Confidential,"6th of October, Giza, Egypt ",Full TimeOn-siteManager · 4 - 7 Yrs of Exp · IT/Software Development · Computer Science · Information Technology (IT) · Programming · Python · Java · Security · Design · API · Scala,https://wuzzuf.net/jobs/p/S86GC5XJHujp-Senior-Data-Engineer---ETL-and-IoT-Integration-Specialist-Giza-Egypt,5 days
SDET (Software Development Engineer in Test),leantech.me,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Quality · Engineering - Telecom/Technology · api · quality assurance · ruby · scrum · sdet · typescript · engineering,https://wuzzuf.net/jobs/p/yrYi470l2YwU-SDET-Software-Development-Engineer-in-Test-leantech-me-Dubai-United-Arab-Emirates,4 days
DevOps Engineer,Foreground Consultancy,"Dubai, United Arab Emirates ",Full TimeNot specified · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · DevOps · Software Development · Software Engineering · Engineering · Computer Engineering,https://wuzzuf.net/jobs/p/LiEqLOsrOpdZ-DevOps-Engineer-Foreground-Consultancy-Dubai-United-Arab-Emirates,3 days
Security Consultant,Help AG,"Abu Dhabi, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Networking · Security · CCIE · CISSP · Engineering,https://wuzzuf.net/jobs/p/pozHk6YJl4jt-Security-Consultant-Help-AG-Abu-Dhabi-United-Arab-Emirates,4 days
Senior Odoo Developer,National Technology,"Nasr City, Cairo, Egypt ",Full TimeOn-siteExperienced · 3 - 5 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · ERP · Information Technology (IT) · Java · JSF · MVC,https://wuzzuf.net/jobs/p/dwAVB5qaSRIk-Senior-Odoo-Developer-National-Technology-Cairo-Egypt,7 days
Security Consultant - Fortinet,Help AG,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Networking · Security · CCIE · CISSP · Engineering,https://wuzzuf.net/jobs/p/iFCl2HsibOK1-Security-Consultant---Fortinet-Help-AG-Dubai-United-Arab-Emirates,5 days
Security Consultant - ZScaler,Help AG,"Dubai, United Arab Emirates ",Full TimeNot specified · IT/Software Development · Strategy/Consulting · Engineering - Telecom/Technology · Information Technology (IT) · Computer Science · Networking · Security · CCIE · CISSP · Engineering,https://wuzzuf.net/jobs/p/t9dK027r0Nw8-Security-Consultant---ZScaler-Help-AG-Dubai-United-Arab-Emirates,5 days
Learning & Development Officer,Centro Olaya,"Riyadh, Saudi Arabia ",Full TimeNot specified · IT/Software Development · Engineering - Telecom/Technology · Education/Teaching · Education · Learning · Training · Information Technology (IT) · Computer Science · Teaching · E-Learning,https://wuzzuf.net/jobs/p/Kmomb4Y7S4mX-Learning-Development-Officer-Centro-Olaya-Riyadh-Saudi-Arabia,5 days
